,Sentence,Label
0,sid=&amp;ring=hentff98&amp;id=&amp;list,0
1,ring=yaoi28,0
2,mode=navigation&amp;categoryid=1141,0
3,lang=en,0
4,ring=bettie,0
5,cid=1691,0
6,ring=sgslash,0
7,ring=snape_slash_fleet;action=info;b=,0
8,ring=harrypotterforad,0
9,usernum=1934660440&amp;action=list&amp;siteid=,0
10,ring=slashrecs&amp;id=26&amp;hub,0
11,ring=aragornandlegola,0
12,ring=jedigrrls&amp;id=7&amp;list,0
13,ring=forceboyz;action=list,0
14,ring=hockeyfanficwrit&amp;id=2&amp;hub,0
15,ring=altxenafanfic,0
16,ring=difsubtext,0
17,ring=aressmut;action=info;b=,0
18,ring=invisiblemanslas,0
19,ring=mfuslash;action=info;b=,0
20,ring=smallvilleslash;action=info;b=,0
21,ring=smallvilleslash,0
22,ring=soapfanfictionri,0
23,ring=dsn;list,0
24,ring=sttng;action=info;b=,0
25,usernum=3614006703,0
26,ring=pkslash;action=info;b=,0
27,ring=stvoy;action=info;b=,0
28,ring=cpslash;action=info;b=,0
29,ring=treksmutu,0
30,ring=thenewstartreksl,0
31,ring=jdan,0
32,ring=shushstarskyandh,0
33,ring=mskring,0
34,ring=spenderficwriter&amp;list,0
35,ring=skinnerscully&amp;list,0
36,ring=doggettandscully,0
37,ring=skk,0
38,ring=msrring,0
39,file=/eguide/archive/1999/09/30/neva.dtl,0
40,ring=adultfic&amp;list,0
41,ring=nfic,0
42,ring=kinkslashring,0
43,ring=maturefanfiction,0
44,ring=pbslash,0
45,ring=slashrecs,0
46,ring=multiverseslashr,0
47,ring=slash;action=info;b=,0
48,id=6,0
49,user=submissiveblog,0
50,filter=sexfessions,0
51,fuseaction=viewauthors&amp;sortby=name,0
52,ring=literotica;action=info;b=,0
53,ring=eros&amp;id=190&amp;hub,0
54,ring=justforladies&amp;id=1&amp;hub,0
55,ring=writerssoul&amp;id=40&amp;hub,0
56,ring=amateurerotica&amp;id=35&amp;hub,0
57,ring=eroticring&amp;id=7&amp;hub,0
58,ring=communiqueerotiq&amp;id=11&amp;hub,0
59,ring=weberotica&amp;id=53&amp;hub,0
60,goto=charlie_hc_car_ol,0
61,ring=worlderotica&amp;list,0
62,action=info&amp;ring=hentracks,0
63,ring=escorts,0
64,sid=&amp;ring=escorts4you&amp;id=&amp;list,0
65,ring=maleescort2;list,0
66,ring=malescort;list,0
67,ring=exclusive_id;list,0
68,ring=laescort,0
69,ring=maleescort;list,0
70,ring=exclusive_;list,0
71,page=become-a-distributor,0
72,sid=00/04/13/1939221&amp;mode=nested,0
73,&amp;filter=a,0
74,c=3,0
75,win=zb980site,0
76,revid=22107,0
77,ids=20468,0
78,ring=thongbikini;action=list,0
79,ring=erotica29,0
80,ring=gg2642,0
81,x=0,0
82,loc=th,0
83,loc=idx&amp;lng=2,0
84,chlang=1,0
85,ring=uk_pro_domme;id=0;action=list,0
86,-ladyursula-&amp;http://mysite.ifriends.net/-ladyursula-/,0
87,id=1049,0
88,prov=on;city=toronto,0
89,adultindex,0
90,dest=%2fgroup%2falaskabound%2f,0
91,screen=ctgy&amp;store_code=fret&amp;category_code=200_gp,0
92,fuseaction=dsp_city&amp;c_city=hollywood,0
93,language=en,0
94,type=1&amp;cid=330,0
95,c=3&amp;v=3&amp;sn=1,0
96,id=00192&amp;search=valley,0
97,catlvl=2&amp;catid=21,0
98,page=asmfaq.html,0
99,dest=%2fgroup%2fblackerotica%2f,0
